parent_taxon_id,taxon_id,rank_level,leaf_class_id,iconic_class_id,spatial_class_id,spatial_threshold,name
,1,70,,,1716,,Animalia
1,2,60,,,1028,,Chordata
2,355675,57,,,1356,,Vertebrata
355675,3,50,,,1363,,Aves
3,573,40,,,1650,,Galliformes
573,574,30,,,511,,Phasianidae
574,905,20,,,931,,Meleagris
905,906,10,140,5,140,0.040420607,Meleagris gallopavo
3,2708,40,,,1802,,Columbiformes
2708,2715,30,,,684,,Columbidae
2715,3438,20,,,1904,,Zenaida
3438,3454,10,442,5,442,0.009106035,Zenaida macroura
3,6888,40,,,1173,,Anseriformes
6888,6912,30,,,1436,,Anatidae
6912,6922,20,,,948,,Anas
6922,6930,10,188,5,188,0.000018794624,Anas platyrhynchos
6912,7086,20,,,1517,,Branta
7086,7089,10,265,5,265,0.014597085,Branta canadensis
3,7251,40,,,1542,,Passeriformes
7251,7823,30,,,1069,,Corvidae
7823,7998,20,,,814,,Corvus
7998,8010,10,134,5,134,0.022129422,Corvus corax
7998,8021,10,64,5,64,0.012502415,Corvus brachyrhynchos
7823,8228,20,,,1526,,Cyanocitta
8228,8229,10,8,5,8,0.02410456,Cyanocitta cristata
7251,9079,30,,,1294,,Fringillidae
9079,144410,20,,,1443,,Spinus
144410,145310,10,403,5,403,0.008850852,Spinus tristis
9079,199910,20,,,1076,,Haemorhous
199910,199840,10,413,5,413,0.009575671,Haemorhous mexicanus
7251,11853,30,,,1943,,Hirundinidae
11853,11880,20,,,1625,,Hirundo
11880,11901,10,104,5,104,0.010623338,Hirundo rustica
7251,11989,30,,,1946,,Icteridae
11989,9599,20,,,1616,,Quiscalus
9599,9607,10,13,5,13,0.021043045,Quiscalus mexicanus
11989,9740,20,,,1013,,Agelaius
9740,9744,10,25,5,25,0.008547741,Agelaius phoeniceus
7251,13547,30,,,1840,,Paridae
13547,13548,20,,,1368,,Parus
13548,203153,10,200,5,200,0.015612238,Parus major
7251,13685,30,,,607,,Passeridae
13685,13847,20,,,1318,,Passer
13847,13858,10,300,5,300,0.0025439796,Passer domesticus
7251,14841,30,,,1369,,Sturnidae
14841,14842,20,,,1034,,Sturnus
14842,14850,10,137,5,137,0.0037115263,Sturnus vulgaris
7251,15977,30,,,1467,,Turdidae
15977,12705,20,,,1054,,Turdus
12705,12716,10,97,5,97,0.010422754,Turdus merula
12705,12727,10,126,5,126,0.017246382,Turdus migratorius
7251,59911,30,,,630,,Mimidae
59911,14877,20,,,709,,Mimus
14877,14886,10,63,5,63,0.0039760843,Mimus polyglottos
7251,71305,30,,,1149,,Cardinalidae
71305,9080,20,,,1639,,Cardinalis
9080,9083,10,448,5,448,0.020431781,Cardinalis cardinalis
7251,71349,30,,,1915,,Parulidae
71349,10246,20,,,1615,,Setophaga
10246,145245,10,302,5,302,0.011928665,Setophaga coronata
7251,559248,30,,,698,,Passerellidae
559248,9091,20,,,874,,Melospiza
9091,9100,10,506,5,506,0.014853709,Melospiza melodia
559248,10093,20,,,1406,,Junco
10093,10094,10,439,5,439,0.026128445,Junco hyemalis
3,17550,40,,,1663,,Piciformes
17550,17599,30,,,967,,Picidae
17599,792976,20,,,1714,,Dryobates
792976,792988,10,158,5,158,0.020104006,Dryobates pubescens
3,67566,40,,,1370,,Pelecaniformes
67566,4929,30,,,1128,,Ardeidae
4929,597395,27,,,1120,,Ardeinae
597395,4933,20,,,1832,,Egretta
4933,4940,10,283,5,283,0.014738623,Egretta thula
597395,4950,20,,,654,,Ardea
4950,4954,10,216,5,216,0.013579448,Ardea cinerea
4950,4956,10,20,5,20,0.009000464,Ardea herodias
4950,144455,10,486,5,486,0.0010279141,Ardea alba
3,71261,40,,,1391,,Accipitriformes
71261,5067,30,,,614,,Accipitridae
5067,1542783,27,,,533,,Buteoninae
1542783,5179,20,,,692,,Buteo
5179,5212,10,298,5,298,0.0069484394,Buteo jamaicensis
1542783,5303,20,,,1060,,Haliaeetus
5303,5305,10,313,5,313,0.0298882,Haliaeetus leucocephalus
71261,200958,30,,,1557,,Pandionidae
200958,71725,20,,,677,,Pandion
71725,116999,10,498,5,498,0.0018618939,Pandion haliaetus
3,71268,40,,,671,,Suliformes
71268,4262,30,,,887,,Phalacrocoracidae
4262,1289332,20,,,1359,,Nannopterum
1289332,1454382,10,220,5,220,0.008799044,Nannopterum auritum
3,559244,40,,,1472,,Cathartiformes
559244,71306,30,,,1082,,Cathartidae
71306,4755,20,,,1931,,Cathartes
4755,4756,10,66,5,66,0.017882941,Cathartes aura
355675,20978,50,,,636,,Amphibia
20978,20979,40,,,1641,,Anura
20979,21359,30,,,655,,Bufonidae
21359,21360,20,,,1928,,Bufo
21360,326296,10,417,9,417,0.06661366,Bufo bufo
21359,64747,20,,,1212,,Anaxyrus
64747,64968,10,407,9,407,0.051370695,Anaxyrus americanus
20979,23540,30,,,1905,,Hylidae
23540,787592,27,,,1717,,Hylinae
787592,24253,20,,,1183,,Pseudacris
24253,24259,10,207,9,207,0.051155113,Pseudacris regilla
20979,25473,30,,,1742,,Ranidae
25473,25474,20,,,1360,,Rana
25474,25591,10,47,9,47,0.03373236,Rana temporaria
25473,60340,20,,,809,,Lithobates
60340,65979,10,441,9,441,0.018116696,Lithobates catesbeianus
60340,65982,10,391,9,391,0.05136565,Lithobates clamitans
20978,26718,40,,,1894,,Caudata
26718,26909,30,,,799,,Plethodontidae
26909,787551,27,,,1439,,Plethodontinae
787551,27135,20,,,801,,Plethodon
27135,27186,10,226,9,226,0.04615776,Plethodon cinereus
355675,26036,50,,,1855,,Reptilia
26036,26039,40,,,1672,,Crocodylia
26039,121038,30,,,1384,,Alligatoridae
121038,26154,20,,,1290,,Alligator
26154,26159,10,171,8,171,0.051983,Alligator mississippiensis
26036,26172,40,,,767,,Squamata
26172,85552,37,,,826,,Sauria
85552,35278,30,,,754,,Iguanidae
35278,35341,20,,,964,,Iguana
35341,35342,10,356,8,356,0.05546257,Iguana iguana
85552,35360,30,,,1354,,Lacertidae
35360,1118992,27,,,1908,,Lacertinae
1118992,35526,20,,,1913,,Podarcis
35526,55990,10,55,8,55,0.026276346,Podarcis muralis
85552,36074,30,,,1102,,Phrynosomatidae
36074,797562,27,,,1948,,Sceloporinae
797562,36141,20,,,579,,Sceloporus
36141,36204,10,330,8,330,0.08168334,Sceloporus occidentalis
85552,36982,30,,,725,,Scincidae
36982,787700,27,,,1671,,Scincinae
787700,37763,20,,,1591,,Plestiodon
37763,73788,10,401,8,401,0.043842413,Plestiodon fasciatus
85552,200152,30,,,1240,,Anolidae
200152,36362,20,,,1737,,Anolis
36362,36514,10,290,8,290,0.020297363,Anolis carolinensis
